indicator,date,rate,symbol
high,2022-01-04 15:54:00,32.3199,TTM
low,2022-01-04 15:54:00,32.3,TTM
close,2022-01-04 15:54:00,32.305,TTM
open,2022-01-04 15:53:00,32.27,TTM
high,2022-01-04 15:53:00,32.3,TTM
low,2022-01-04 15:53:00,32.27,TTM
close,2022-01-04 15:53:00,32.29,TTM
open,2022-01-04 15:52:00,32.26,TTM
high,2022-01-04 15:52:00,32.3,TTM
low,2022-01-04 15:52:00,32.251,TTM
close,2022-01-04 15:52:00,32.27,TTM
open,2022-01-04 15:51:00,32.25,TTM
high,2022-01-04 15:51:00,32.28,TTM
low,2022-01-04 15:51:00,32.249,TTM
close,2022-01-04 15:51:00,32.26,TTM
open,2022-01-04 15:50:00,32.24,TTM
high,2022-01-04 15:50:00,32.26,TTM
low,2022-01-04 15:50:00,32.23,TTM
close,2022-01-04 15:50:00,32.23,TTM
open,2022-01-04 15:49:00,32.25,TTM
high,2022-01-04 15:49:00,32.255,TTM
low,2022-01-04 15:49:00,32.22,TTM
close,2022-01-04 15:49:00,32.24,TTM
open,2022-01-04 15:48:00,32.255,TTM
high,2022-01-04 15:48:00,32.265,TTM
low,2022-01-04 15:48:00,32.24,TTM
close,2022-01-04 15:48:00,32.26,TTM
open,2022-01-04 15:47:00,32.26,TTM
high,2022-01-04 15:47:00,32.27,TTM
low,2022-01-04 15:47:00,32.23,TTM
close,2022-01-04 15:47:00,32.25,TTM
open,2022-01-04 15:46:00,32.23,TTM
high,2022-01-04 15:46:00,32.26,TTM
low,2022-01-04 15:46:00,32.23,TTM
close,2022-01-04 15:46:00,32.241,TTM
open,2022-01-04 15:45:00,32.21,TTM
high,2022-01-04 15:45:00,32.24,TTM
low,2022-01-04 15:45:00,32.21,TTM
close,2022-01-04 15:45:00,32.228,TTM
open,2022-01-04 15:44:00,32.26,TTM
high,2022-01-04 15:44:00,32.26,TTM
low,2022-01-04 15:44:00,32.23,TTM
close,2022-01-04 15:44:00,32.235,TTM
open,2022-01-04 15:43:00,32.2699,TTM
high,2022-01-04 15:43:00,32.2699,TTM
low,2022-01-04 15:43:00,32.245,TTM
close,2022-01-04 15:43:00,32.25,TTM
open,2022-01-04 15:42:00,32.25,TTM
high,2022-01-04 15:42:00,32.27,TTM
low,2022-01-04 15:42:00,32.2499,TTM
close,2022-01-04 15:42:00,32.25,TTM
open,2022-01-04 15:41:00,32.305,TTM
high,2022-01-04 15:41:00,32.305,TTM
low,2022-01-04 15:41:00,32.22,TTM
close,2022-01-04 15:41:00,32.231,TTM
open,2022-01-04 15:40:00,32.29,TTM
high,2022-01-04 15:40:00,32.305,TTM
low,2022-01-04 15:40:00,32.29,TTM
close,2022-01-04 15:40:00,32.305,TTM
open,2022-01-04 15:39:00,32.28,TTM
high,2022-01-04 15:39:00,32.2899,TTM
low,2022-01-04 15:39:00,32.28,TTM
close,2022-01-04 15:39:00,32.2899,TTM
open,2022-01-04 15:38:00,32.27,TTM
high,2022-01-04 15:38:00,32.2942,TTM
low,2022-01-04 15:38:00,32.27,TTM
close,2022-01-04 15:38:00,32.2942,TTM
open,2022-01-04 15:37:00,32.2899,TTM
high,2022-01-04 15:37:00,32.2899,TTM
low,2022-01-04 15:37:00,32.2763,TTM
close,2022-01-04 15:37:00,32.2763,TTM
open,2022-01-04 15:36:00,32.26,TTM
high,2022-01-04 15:36:00,32.27,TTM
low,2022-01-04 15:36:00,32.24,TTM
close,2022-01-04 15:36:00,32.27,TTM
